,NO.,ORDER DATE,DIRECTOR,SITE,STATUS,MAIN DES,COMTOR,DUR(h),TRANS DUR(h),DELIVER BEFORE(h),CONFIRM TIME (h),DEADLINE,WORK DATE,DESIGN IMPORTANT,START WORK,END WORK,FIX DUR,"BREAK/
CONFIRM","WORK
DURATION",LAG,DES NOTES,DES1,DUR1,DES2,DUR2,DES3,DUR3,DES4,DUR4,
1,v1603-0031,3/1/2016,Nishitani,baikyaku-takara21.com,mail:done,ThanhNLY,NguyenLDH,5,1,,,01/03/2016,01/03/2016,,9:00,15:00,,1:00,5,0,http://service.fvn-office.net/fvn/thanhnly/0031/contact/,ThanhNLY,5,,,,,,,1
1,v1603-0044,3/1/2016,Takeuchi,toukai-ichimura-tosou.com/,mail:done,LinhKT,ManDH,1,0,,,01/03/2016,01/03/2016,,16:30,17:00,,,0.5,-0.5,http://service.fvn-office.net/fvn/LinhKT/v1603-0044_toukai-ichimura-tosou.com/160301_02_bk/,LinhKT,1,,,,,,,1
1,v1603-0027,2/29/2016,Suzuki,dentaljapan.jp/,mail:done,TruyenLC,NguyenLDH,6,1,,,02/03/2016,02/03/2016,,8:30,14:00,,1:00,4.5,-1.5,26 27 c?ng 1 order,TruyenLC,6,,,,,,,1
1,v1603-0029,3/1/2016,Kawashima,takamasajyushi-kk.com/,mail:done,TramNTH,NguyenLDH,2,0.5,12:30,,02/03/2016,02/03/2016,,8:30,10:30,,,2,0,fmail check file :contact/fmail.tpl,TramNTH,2,,,,,,,1
1,v1603-0030,3/1/2016,Ishihara,office-planning.info/,mail:done,BinhNT,ManDH,2,0.5,,,02/03/2016,01/03/2016,,15:00,17:00,,1:00,1,-1,,BinhNT,2,,,,,,,1
1,v1603-0032,3/1/2016,Ariyoshi,withwatabe.jp/,mail:done,KhangPH,ManDH,6,1,,3,02/03/2016,02/03/2016,,8:30,17:30,,1:00,8,2,http://service.fvn-office.net/fvn/khangph,KhangPH,6,,,,,,,1
1,v1603-0033,3/1/2016,Ishihara,nohara-dc.com/,mail:done,LinhKT,ManDH,2.5,0.5,,,02/03/2016,02/03/2016,,10:30,14:00,,1:00,2.5,0,,LinhKT,2.5,,,,,,,1
1,v1603-0034,3/1/2016,Kawashima,youthinc.co.jp/,mail:done,LinhKT,ManDH,1,0.5,12:00,,02/03/2016,02/03/2016,,9:30,10:30,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0035,3/1/2016,Sawada,izumi-bousai.jp/,mail:done,VuLDN,ManDH,4,1,14:30,,02/03/2016,02/03/2016,,8:30,13:30,,1:00,4,0,,VuLDN,4,,,,,,,1
1,v1603-0036,3/1/2016,Takeuchi,esthe-vivid.com/,mail:done,LinhKT,NguyenLDH,1,0,12:00,,02/03/2016,02/03/2016,,8:30,9:30,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0037,3/1/2016,Tanaka,insyoku-kaigyo.jp/,mail:done,NhaNTT,ManDH,1.5,0.5,,,02/03/2016,01/03/2016,,14:30,16:00,,,1.5,0,,NhaNTT,1.5,,,,,,,1
