Date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Work content,Page name,"Team/
Designer",Status,Start work,End work,Break,Note,,,,,,,,,,,,
29/02/2016,100100705003-01W,???? ??????????????,New,,1,0.5,under,,HuyTV,done,08:30,09:00,,,,,,,,,,,,,,
01/03/2016,100100705003-01W,???? ??????????????,Option,,1,0.5,Join page,,HuyTV,done,09:30,10:00,,,,,,,,,,,,,,
29/02/2016,100100705003-01W,???? ??????????????,Option,,3,3,overnotes,,ManhT,done,08:30,11:30,,,,,,,,,,,,,,
,100100705003-01W,???? ??????????????,Option,,1,0,Check,,,,,,,,,,,,,,,,,,,
02/03/2016,100100705003-01W,???? ??????????????,Option,,1,1,Fix index,,HuyTV,done,11:00,12:00,,,,,,,,,,,,,,
02/03/2016,100100705003-01W,???? ??????????????,Option,,,1,Fix sub pages,,TramNTH,done,16:30,17:30,,,,,,,,,,,,,,
29/02/2016,100100705003-01W,???? ??????????????,New,,3,2.5,Overnotes,,ManhT,done,13:00,15:30,,,,,,,,,,,,,,
29/02/2016,100100705003-01W,???? ??????????????,New,3,6,8,"sub page 2,3, 4","strength.html, products.html, consultant.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
01/03/2016,100100705003-01W,???? ??????????????,New,5,10,8,"sub page 5, 6, 7, 10, 11","consultation/index.html, consultation/flow.html, faq.html, service/index.html, company.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
02/03/2016,100100705003-01W,???? ??????????????,New,3,6,3.5,"sub page 12, 13, 14","policy.html, invite.html, kinshou.html",TramNTH,done,10:30,15:00,01:00,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100101079301-01W,,Plan,10,38,43.75,Set kijikaku,,2.team Manh,,,,,,,,,,,,,,,,,
04/03/2016,100101079301-01W,,New,1,8,8,index + js,,DiepBNH,done,08:30,17:30,01:00,,,,,,,,,,,,,
08/03/2016,100101079301-01W,,New,,2,10.75, index+tiny,,DiepBNH,done,08:30,20:15,01:00,,,,,,,,,,,,,
08/03/2016,100101079301-01W,,New,,2,1,under,,VuLDN,done,08:30,09:30,,,,,,,,,,,,,,
09/03/2016,100101079301-01W,,Option,,2,1,Join page,,VuLDN,done,08:30,09:30,,,,,,,,,,,,,,
09/03/2016,100101079301-01W,,Option,,2,2,Kijikaku,,VuLDN,done,10:30,13:30,01:00,,,,,,,,,,,,,
10/03/2016,100101079301-01W,,Option,,1,2,Check,,ManhT,done,08:30,10:30,,,,,,,,,,,,,,
09/03/2016,100101079301-01W,,Option,,2,1,Fix sub pages,,VuLDN,done,09:30,10:30,,,,,,,,,,,,,,
08/03/2016,100101079301-01W,,New,,2,2,Banner,,VuLDN,done,09:30,11:30,,,,,,,,,,,,,,
04/03/2016,100101079301-01W,,New,4,7,8,"sub page 2,3, 4, 5",,VuLDN,done,08:30,17:30,01:00,"Page 2 nhi?u trang words, trim nhi?u hçnh",,,,,,,,,,,,
07/03/2016,100101079301-01W,,New,5,10,8,"sub page 6, 7, 8, 9, 10",,VuLDN,done,08:30,17:30,1:00,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100101030101-01W,,Plan,20,54,40,overnote,,2.team Manh,,,,,,,,,,,,,,,,,
04/03/2016,100101030101-01W,????????????????????,New,,8,8,index + js,,HuyTV,done,08:30,17:30,01:00,,,,,,,,,,,,,
07/03/2016,100101030101-01W,????????????????????,New,,3,3,index,,HuyTV,done,08:30,11:30,,,,,,,,,,,,,,
